time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,school_type_group,subject_area,qualification,school_type,subject_name,entry_count,perc_astar_grade_achieved,perc_astar_a_grade_achieved,perc_astar_b_grade_achieved,perc_astar_c_grade_achieved,perc_astar_d_grade_achieved,perc_astar_e_grade_achieved
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,882,E06000033,Southend-on-Sea,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,3812,9.41763,29.3809,56.8468,79.09234,92.28751,97.63903
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,883,E06000034,Thurrock,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,1040,6.05769,21.53846,48.94231,77.01923,90.67308,97.59615
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,7433,4.41275,17.27432,42.80909,68.55913,85.65855,95.76214
202223,Academic year,Local authority,E92000001,England,E12000006,East of England,935,E10000029,Suffolk,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,7189,5.31367,19.27945,43.81694,68.53526,86.06204,95.53484
202223,Academic year,Local authority,E92000001,England,E12000008,South East,936,E10000030,Surrey,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,17445,8.99971,28.81055,57.65549,79.93694,92.62253,97.9765
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,5740,5.31359,18.93728,42.87456,69.47735,88.03136,97.05575
202223,Academic year,Local authority,E92000001,England,E12000008,South East,938,E10000032,West Sussex,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,8594,6.86525,22.50407,49.69746,73.79567,89.99302,97.16081
202223,Academic year,Local authority,E92000001,England,E12000007,London,306,E09000008,Croydon,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,3531,4.07816,14.38686,37.5531,63.04163,82.41291,93.28802
202223,Academic year,Local authority,E92000001,England,E12000007,London,307,E09000009,Ealing,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,5311,7.9646,27.11354,55.01789,77.72548,91.52702,97.1945
202223,Academic year,Local authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,8542,9.08452,27.17162,53.18427,75.11122,89.58089,96.78061
202223,Academic year,Local authority,E92000001,England,E12000007,London,203,E09000011,Greenwich,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,2806,3.63507,16.3578,41.83892,68.06842,85.21026,94.72559
202223,Academic year,Local authority,E92000001,England,E12000007,London,204,E09000012,Hackney,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,3008,7.11436,23.47074,51.32979,74.7008,90.12633,97.07447
202223,Academic year,Local authority,E92000001,England,E12000007,London,205,E09000013,Hammersmith and Fulham,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,2496,9.81571,30.72917,58.09295,77.5641,89.90385,96.55449
202223,Academic year,Local authority,E92000001,England,E12000007,London,308,E09000010,Enfield,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,3708,8.60302,25.37756,51.3754,75.02697,89.72492,97.35707
202223,Academic year,Local authority,E92000001,England,E12000007,London,310,E09000015,Harrow,State-funded institutions,All subjects,A level,All state-funded schools and colleges,Total subjects,5129,7.77929,27.49074,55.03997,77.50049,90.68044,97.15344
