School,Location,Progressed to Sustained App'ship (%),Progressed to Sustained L4 or above  (%),Progressed to Top-Third Higher Education (%),Progressed to Russell Group Institution (%),Progressed to Oxford or Cambridge (%),Progressed to Sciences (avg) %,OFSTED Score % (Accounting for Time Since OFTSTED Visit),OFTSTED rating,Last OFSTED Visit,Performance Across All Indices %,Region_name
"Bishop Luffa School, Chichester",West Sussex,2.00%,85.00%,40.00%,39.00%,2.00%,16.92%,100.00%,Outstanding,2022-12-01 00:00:00,31.52%,South East
Redland Green School,"Bristol, City of",0.00%,85.00%,35.00%,38.00%,2.00%,18.08%,100.00%,Outstanding,2022-03-16 00:00:00,31.43%,South West
Ulverston Victoria High School,Westmorland and Furness,15.00%,85.00%,39.00%,31.00%,0.00%,20.90%,75.00%,Good,2023-09-21 00:00:00,31.38%,North West
Kenilworth School and Sixth Form,Warwickshire,2.00%,89.00%,37.00%,36.00%,2.00%,17.05%,100.00%,Outstanding,2023-11-08 00:00:00,31.38%,West Midlands
The North Halifax Grammar School,Calderdale,4.00%,83.00%,39.00%,32.00%,2.00%,22.33%,75.00%,Good,2023-11-09 00:00:00,31.37%,Yorkshire and The Humber
Bosworth Academy,Leicestershire,2.00%,88.00%,30.00%,22.00%,1.00%,21.37%,100.00%,Outstanding,2022-06-15 00:00:00,31.34%,East Midlands
Paddington Academy,Westminster,0.00%,91.00%,35.00%,33.00%,1.00%,18.15%,100.00%,Outstanding,2023-03-14 00:00:00,31.33%,London
Fortismere School,Haringey,1.00%,91.00%,58.00%,58.00%,5.00%,12.28%,75.00%,Good,2022-04-27 00:00:00,31.32%,London
The Charter School North Dulwich,Southwark,1.00%,89.00%,49.00%,47.00%,2.00%,12.88%,100.00%,Outstanding,2022-06-08 00:00:00,31.31%,London
The King's (The Cathedral) School,Peterborough,1.00%,91.00%,50.00%,46.00%,3.00%,25.58%,20.00%,Outstanding,2013-03-21 00:00:00,31.27%,East of England
Mossbourne Community Academy,Hackney,1.00%,94.00%,55.00%,50.00%,7.00%,20.22%,33.33%,Outstanding,2021-09-29 00:00:00,31.26%,London
Gunnersbury Catholic School,Hounslow,1.00%,93.00%,30.00%,26.00%,0.00%,19.95%,100.00%,Outstanding,2023-01-18 00:00:00,31.24%,London
Northampton Academy,West Northamptonshire,2.00%,85.00%,28.00%,25.00%,0.00%,21.65%,100.00%,Outstanding,2023-03-22 00:00:00,31.24%,East Midlands
Chelsea Academy,Kensington and Chelsea,1.00%,89.00%,40.00%,39.00%,4.00%,19.47%,75.00%,Good,2023-09-28 00:00:00,31.22%,London
Poole Grammar School,"Bournemouth, Christchurch and Poole",2.00%,83.00%,54.00%,45.00%,4.00%,26.68%,15.00%,Good,2018-01-24 00:00:00,31.18%,South West
Walthamstow Academy,Waltham Forest,1.00%,84.00%,49.00%,47.00%,0.00%,18.03%,75.00%,Good,2022-11-30 00:00:00,31.13%,London
Cranbrook School,Kent,0.00%,85.00%,46.00%,43.00%,2.00%,18.73%,75.00%,Good,2022-03-23 00:00:00,31.08%,South East
St Paul's School for Girls,Birmingham,3.00%,94.00%,42.00%,41.00%,4.00%,13.10%,100.00%,Outstanding,2023-02-03 00:00:00,31.07%,West Midlands
Chesham Grammar School,Buckinghamshire,1.00%,98.00%,56.00%,49.00%,3.00%,22.42%,20.00%,Outstanding,2014-03-13 00:00:00,31.07%,South East
Beths Grammar School,Bexley,5.00%,89.00%,35.00%,31.00%,1.00%,21.47%,75.00%,Good,2022-05-05 00:00:00,30.96%,London
JCoSS,Barnet,2.00%,85.00%,61.00%,54.00%,5.00%,12.52%,75.00%,Good,2022-11-10 00:00:00,30.87%,London
West Kirby Grammar School,Wirral,1.00%,88.00%,49.00%,44.00%,1.00%,16.98%,75.00%,Good,2022-11-03 00:00:00,30.77%,North West
The Bishop's Stortford High School,Hertfordshire,3.00%,83.00%,37.00%,32.00%,1.00%,17.68%,100.00%,Outstanding,2023-05-25 00:00:00,30.75%,East of England
Beechen Cliff School,Bath and North East Somerset,2.00%,86.00%,46.00%,45.00%,3.00%,16.85%,75.00%,Good,2023-09-22 00:00:00,30.72%,South West
Chislehurst and Sidcup Grammar School,Bexley,7.00%,89.00%,35.00%,31.00%,1.00%,20.52%,75.00%,Good,2022-12-14 00:00:00,30.65%,London
Liverpool College,Liverpool,2.00%,93.00%,58.00%,53.00%,4.00%,18.55%,33.33%,Outstanding,2019-11-27 00:00:00,30.60%,North West
City of London Academy Highbury Grove,Islington,0.00%,92.00%,38.00%,35.00%,6.00%,18.53%,75.00%,Good,2022-04-27 00:00:00,30.60%,London
Notre Dame High School,Sheffield,1.00%,90.00%,40.00%,37.00%,4.00%,18.45%,75.00%,Good,2022-01-26 00:00:00,30.59%,Yorkshire and The Humber
Richard Challoner School,Kingston upon Thames,2.00%,86.00%,39.00%,36.00%,2.00%,15.58%,100.00%,Outstanding,2022-11-23 00:00:00,30.56%,London
Dame Elizabeth Cadbury School,Birmingham,0.00%,68.00%,23.00%,23.00%,0.00%,28.78%,75.00%,Good,2023-03-23 00:00:00,30.53%,West Midlands
Guildford County School,Surrey,0.00%,83.00%,40.00%,35.00%,2.00%,16.30%,100.00%,Outstanding,2023-02-23 00:00:00,30.48%,South East
Seven Kings School,Redbridge,3.00%,94.00%,42.00%,40.00%,,26.40%,20.00%,Outstanding,2018-09-13 00:00:00,30.45%,London
St Bede's School,Surrey,0.00%,89.00%,37.00%,39.00%,2.00%,14.87%,100.00%,Outstanding,2023-03-29 00:00:00,30.42%,South East
King Edward VI School,Staffordshire,5.00%,75.00%,33.00%,30.00%,1.00%,23.23%,75.00%,Good,2022-10-19 00:00:00,30.41%,West Midlands
Washwood Heath Academy,Birmingham,0.00%,97.00%,6.00%,6.00%,0.00%,38.08%,25.00%,Good,2020-03-04 00:00:00,30.31%,West Midlands
King Edward VII School,Sheffield,1.00%,85.00%,37.00%,35.00%,3.00%,19.85%,75.00%,Good,2023-05-24 00:00:00,30.30%,Yorkshire and The Humber
Northampton School for Boys,West Northamptonshire,2.00%,88.00%,49.00%,45.00%,3.00%,24.30%,20.00%,Outstanding,2014-11-13 00:00:00,30.28%,East Midlands
Brighton Hove and Sussex Sixth Form College,Brighton and Hove,1.00%,82.00%,40.00%,36.00%,4.00%,15.12%,100.00%,Outstanding,2022-12-09 00:00:00,30.24%,South East
William Hulme's Grammar School,Manchester,0.00%,92.00%,41.00%,39.00%,2.00%,25.85%,25.00%,Good,2019-05-15 00:00:00,30.24%,North West
William Perkin Church of England High School,Ealing,0.00%,90.00%,44.00%,43.00%,2.00%,25.57%,20.00%,Outstanding,2015-06-10 00:00:00,30.17%,London
St John Fisher Catholic College,Staffordshire,2.00%,81.00%,27.00%,19.00%,0.00%,25.65%,75.00%,Good,2022-06-16 00:00:00,30.14%,West Midlands
The Warriner School,Oxfordshire,2.00%,96.00%,21.00%,21.00%,0.00%,23.65%,75.00%,Good,2023-09-27 00:00:00,30.09%,South East
Tauheedul Islam Girls' High School,Blackburn with Darwen,1.00%,74.00%,34.00%,27.00%,1.00%,19.70%,100.00%,Outstanding,2022-10-12 00:00:00,30.09%,North West
South Wilts Grammar School,Wiltshire,1.00%,90.00%,47.00%,46.00%,7.00%,22.00%,25.00%,Good,2019-10-23 00:00:00,30.06%,South West
Sexey's School,Somerset,0.00%,82.00%,34.00%,45.00%,0.00%,19.22%,75.00%,Good,2023-01-18 00:00:00,30.02%,South West
St Bernard's Catholic Grammar School,Slough,1.00%,97.00%,41.00%,40.00%,2.00%,25.05%,20.00%,Outstanding,2011-09-30 00:00:00,30.02%,South East
St Bede's Catholic School and Byron Sixth Form College,County Durham,7.00%,76.00%,38.00%,34.00%,0.00%,20.57%,75.00%,Good,2023-06-14 00:00:00,30.02%,North East
Charters School,Windsor and Maidenhead,2.00%,85.00%,46.00%,38.00%,4.00%,16.75%,75.00%,Good,2023-03-29 00:00:00,30.01%,South East
Norlington School and 6th Form,Waltham Forest,0.00%,76.00%,41.00%,35.00%,0.00%,31.02%,15.00%,Good,2018-09-12 00:00:00,30.01%,London
"St Leonard's Catholic School, Durham",County Durham,0.00%,87.00%,42.00%,38.00%,6.00%,21.08%,50.00%,Requires improvement,2022-01-18 00:00:00,30.01%,North East
Oasis Academy South Bank,Lambeth,0.00%,81.00%,34.00%,34.00%,2.00%,30.22%,20.00%,Outstanding,2015-06-25 00:00:00,30.01%,London
Wycombe High School,Buckinghamshire,2.00%,93.00%,52.00%,46.00%,3.00%,22.17%,20.00%,Outstanding,2012-06-28 00:00:00,29.97%,South East
"The Queen Elizabeth's High School, Gainsborough",Lincolnshire,0.00%,90.00%,55.00%,47.00%,5.00%,22.27%,16.67%,Requires improvement,2021-09-29 00:00:00,29.93%,East Midlands
The Palmer Catholic Academy,Redbridge,1.00%,93.00%,28.00%,20.00%,0.00%,22.97%,75.00%,Good,2022-01-26 00:00:00,29.90%,London
Guru Nanak Sikh Academy,Hillingdon,4.00%,93.00%,38.00%,35.00%,1.00%,17.55%,75.00%,Good,2023-05-25 00:00:00,29.90%,London
Bourne Grammar School,Lincolnshire,4.00%,84.00%,41.00%,39.00%,3.00%,17.23%,75.00%,Good,2022-10-12 00:00:00,29.89%,East Midlands
Ilkley Grammar School,Bradford,1.00%,88.00%,44.00%,40.00%,2.00%,12.40%,100.00%,Outstanding,2023-01-20 00:00:00,29.87%,Yorkshire and The Humber
Queen Elizabeth's Grammar School,Kent,1.00%,81.00%,40.00%,32.00%,2.00%,19.97%,75.00%,Good,2023-03-01 00:00:00,29.85%,South East
The West Bridgford School,Nottinghamshire,2.00%,92.00%,52.00%,46.00%,4.00%,21.80%,20.00%,Outstanding,2011-11-24 00:00:00,29.83%,East Midlands
St Angela's Ursuline School,Newham,0.00%,92.00%,37.00%,37.00%,1.00%,13.83%,100.00%,Outstanding,2022-11-09 00:00:00,29.82%,London
The UCL Academy,Camden,2.00%,97.00%,40.00%,38.00%,0.00%,20.48%,50.00%,Requires improvement,2022-03-30 00:00:00,29.79%,London
The Weston Road Academy,Staffordshire,6.00%,85.00%,35.00%,26.00%,0.00%,20.83%,75.00%,Good,2023-03-22 00:00:00,29.77%,West Midlands
Richmond Park Academy,Richmond upon Thames,0.00%,86.00%,17.00%,14.00%,0.00%,27.05%,75.00%,Good,2022-12-08 00:00:00,29.76%,London
Dartford Grammar School for Girls,Kent,5.00%,92.00%,41.00%,36.00%,0.00%,23.73%,33.33%,Outstanding,2021-10-20 00:00:00,29.74%,South East
Abbey Grange Church of England Academy,Leeds,2.00%,88.00%,39.00%,37.00%,1.00%,17.82%,75.00%,Good,2022-03-16 00:00:00,29.73%,Yorkshire and The Humber
St Anselm's College,Wirral,0.00%,89.00%,56.00%,51.00%,0.00%,20.93%,25.00%,Good,2019-07-04 00:00:00,29.73%,North West
The Coopers' Company and Coborn School,Havering,9.00%,88.00%,40.00%,33.00%,,17.38%,75.00%,Good,2022-09-22 00:00:00,29.66%,London
Harris Academy Battersea,Wandsworth,0.00%,84.00%,31.00%,30.00%,1.00%,17.23%,100.00%,Outstanding,2023-10-04 00:00:00,29.66%,London
Jesmond Park Academy,Newcastle upon Tyne,1.00%,82.00%,32.00%,31.00%,2.00%,20.92%,75.00%,Good,2022-06-09 00:00:00,29.64%,North East
Outwood Academy Easingwold,North Yorkshire,0.00%,76.00%,29.00%,29.00%,5.00%,18.00%,100.00%,Outstanding,2022-06-15 00:00:00,29.61%,Yorkshire and The Humber
Riddlesdown Collegiate,Croydon,2.00%,88.00%,41.00%,38.00%,2.00%,12.57%,100.00%,Outstanding,2023-03-22 00:00:00,29.58%,London
Chipping Norton School,Oxfordshire,1.00%,83.00%,26.00%,31.00%,1.00%,21.87%,75.00%,Good,2023-05-05 00:00:00,29.58%,South East
University Collegiate School,Bolton,0.00%,79.00%,6.00%,3.00%,0.00%,44.12%,0.00%,Special Measures,2022-12-08 00:00:00,29.44%,North West
St Anne's Catholic School,Southampton,0.00%,93.00%,26.00%,25.00%,0.00%,17.33%,100.00%,Outstanding,2022-09-22 00:00:00,29.42%,South East
Oaklands School,Tower Hamlets,0.00%,91.00%,29.00%,23.00%,1.00%,21.37%,75.00%,Good,2022-03-24 00:00:00,29.36%,London
Dunraven School,Lambeth,3.00%,87.00%,39.00%,39.00%,3.00%,16.15%,75.00%,Good,2023-03-29 00:00:00,29.35%,London
Marling School,Gloucestershire,2.00%,85.00%,51.00%,53.00%,5.00%,20.50%,20.00%,Outstanding,2013-11-13 00:00:00,29.34%,South West
Preston Manor School,Brent,1.00%,92.00%,26.00%,25.00%,1.00%,21.03%,75.00%,Good,2022-07-14 00:00:00,29.31%,London
Woodbridge High School,Redbridge,1.00%,83.00%,28.00%,24.00%,1.00%,18.22%,100.00%,Outstanding,2023-02-08 00:00:00,29.30%,London
The Minster School,Nottinghamshire,4.00%,84.00%,40.00%,35.00%,4.00%,16.77%,75.00%,Good,2023-11-22 00:00:00,29.30%,East Midlands
Horsforth School,Leeds,4.00%,88.00%,35.00%,32.00%,1.00%,18.28%,75.00%,Good,2023-10-25 00:00:00,29.30%,Yorkshire and The Humber
The Broxbourne School,Hertfordshire,14.00%,83.00%,30.00%,30.00%,3.00%,18.12%,75.00%,Good,2023-04-26 00:00:00,29.27%,East of England
The Fallibroome Academy,Cheshire East,3.00%,87.00%,43.00%,34.00%,5.00%,15.78%,75.00%,Good,2022-12-01 00:00:00,29.25%,North West
"Tudor Grange Academy, Solihull",Solihull,1.00%,85.00%,49.00%,46.00%,1.00%,23.22%,20.00%,Outstanding,2014-06-26 00:00:00,29.25%,West Midlands
Tong Leadership Academy,Bradford,0.00%,74.00%,11.00%,11.00%,0.00%,29.63%,75.00%,Good,2023-10-19 00:00:00,29.25%,Yorkshire and The Humber
Katharine Lady Berkeley's School,Gloucestershire,2.00%,74.00%,40.00%,41.00%,3.00%,17.63%,75.00%,Good,2023-05-17 00:00:00,29.21%,South West
Loreto College,Manchester,1.00%,88.00%,36.00%,33.00%,1.00%,13.71%,100.00%,Outstanding,2022-12-16 00:00:00,29.03%,North West
Queen Elizabeth School,Westmorland and Furness,2.00%,83.00%,43.00%,38.00%,5.00%,15.30%,75.00%,Good,2022-10-13 00:00:00,28.99%,North West
Loxford School,Redbridge,1.00%,91.00%,22.00%,21.00%,,18.10%,100.00%,Outstanding,2023-11-02 00:00:00,28.98%,London
The Marlborough Church of England School,Oxfordshire,5.00%,83.00%,29.00%,27.00%,3.00%,19.75%,75.00%,Good,2023-07-12 00:00:00,28.95%,South East
Malmesbury School,Wiltshire,3.00%,91.00%,55.00%,58.00%,2.00%,17.47%,20.00%,Outstanding,2012-05-10 00:00:00,28.87%,South West
Landau Forte College,Derby,5.00%,81.00%,27.00%,26.00%,2.00%,29.80%,20.00%,Outstanding,2012-05-03 00:00:00,28.83%,East Midlands
St Birinus School,Oxfordshire,2.00%,80.00%,46.00%,38.00%,2.00%,24.03%,25.00%,Good,2020-02-12 00:00:00,28.82%,South East
Tapton School,Sheffield,1.00%,89.00%,50.00%,49.00%,4.00%,20.13%,20.00%,Outstanding,2012-12-06 00:00:00,28.80%,Yorkshire and The Humber
Calday Grange Grammar School,Wirral,5.00%,83.00%,50.00%,44.00%,3.00%,20.80%,25.00%,Good,2019-09-26 00:00:00,28.76%,North West
Sir Roger Manwood's School,Kent,1.00%,86.00%,39.00%,36.00%,3.00%,16.05%,75.00%,Good,2022-09-28 00:00:00,28.75%,South East
Hillcrest School and Sixth Form Centre,Birmingham,0.00%,82.00%,24.00%,24.00%,0.00%,22.47%,75.00%,Good,2022-09-28 00:00:00,28.72%,West Midlands
The Ecclesbourne School,Derbyshire,1.00%,84.00%,39.00%,37.00%,1.00%,16.57%,75.00%,Good,2023-09-20 00:00:00,28.69%,East Midlands
Macmillan Academy,Middlesbrough,4.00%,86.00%,27.00%,26.00%,1.00%,19.87%,75.00%,Good,2022-11-16 00:00:00,28.66%,North East
Tadcaster Grammar School,North Yorkshire,3.00%,78.00%,42.00%,36.00%,4.00%,16.08%,75.00%,Good,2022-10-05 00:00:00,28.64%,Yorkshire and The Humber
King David High School,Liverpool,1.00%,93.00%,35.00%,30.00%,0.00%,17.18%,75.00%,Good,2022-11-02 00:00:00,28.59%,North West
Hasmonean High School for Girls,Barnet,0.00%,66.00%,45.00%,45.00%,4.00%,16.17%,75.00%,Good,2023-09-21 00:00:00,28.58%,London
Lawnswood School,Leeds,3.00%,90.00%,28.00%,21.00%,0.00%,20.22%,75.00%,Good,2023-09-27 00:00:00,28.54%,Yorkshire and The Humber
Ashmole Academy,Barnet,2.00%,95.00%,49.00%,46.00%,0.00%,19.28%,25.00%,Good,2021-12-01 00:00:00,28.49%,London
Ark Isaac Newton Academy,Redbridge,6.00%,91.00%,35.00%,32.00%,0.00%,25.18%,20.00%,Outstanding,2018-10-03 00:00:00,28.46%,London
Skinners' Academy,Hackney,3.00%,93.00%,30.00%,28.00%,0.00%,17.75%,75.00%,Good,2022-05-12 00:00:00,28.42%,London
Dronfield Henry Fanshawe School,Derbyshire,3.00%,77.00%,32.00%,31.00%,3.00%,18.63%,75.00%,Good,2023-07-12 00:00:00,28.38%,East Midlands
Mill Hill County High School,Barnet,,96.00%,45.00%,42.00%,3.00%,19.93%,25.00%,Good,2021-09-22 00:00:00,28.37%,London
Thomas Telford School,Telford and Wrekin,6.00%,81.00%,28.00%,27.00%,4.00%,18.60%,75.00%,Good,2022-12-07 00:00:00,28.33%,West Midlands
Lincoln UTC,Lincolnshire,5.00%,47.00%,4.00%,2.00%,0.00%,42.73%,25.00%,Good,2019-06-12 00:00:00,28.32%,East Midlands
Saint Cecilia's Church of England School,Wandsworth,0.00%,80.00%,34.00%,30.00%,1.00%,18.85%,75.00%,Good,2023-06-28 00:00:00,28.30%,London
Brine Leas School,Cheshire East,3.00%,86.00%,37.00%,36.00%,3.00%,15.13%,75.00%,Good,2022-05-19 00:00:00,28.29%,North West
Chew Valley School,Bath and North East Somerset,5.00%,79.00%,29.00%,33.00%,5.00%,17.35%,75.00%,Good,2022-05-18 00:00:00,28.27%,South West
School 21,Newham,6.00%,91.00%,36.00%,31.00%,3.00%,19.07%,50.00%,Requires improvement,2023-03-14 00:00:00,28.26%,London
All Saints Catholic School and Technology College,Barking and Dagenham,0.00%,91.00%,23.00%,22.00%,0.00%,20.60%,75.00%,Good,2023-03-09 00:00:00,28.25%,London
The Queen Katherine School,Westmorland and Furness,3.00%,83.00%,39.00%,31.00%,1.00%,16.65%,75.00%,Good,2022-03-31 00:00:00,28.22%,North West
Simon Langton Grammar School for Boys,Kent,1.00%,91.00%,45.00%,37.00%,7.00%,21.10%,20.00%,Outstanding,2013-11-14 00:00:00,28.21%,South East
Cheney School,Oxfordshire,1.00%,86.00%,34.00%,33.00%,3.00%,16.38%,75.00%,Good,2023-09-21 00:00:00,28.20%,South East
Haybridge High School and Sixth Form,Worcestershire,4.00%,78.00%,28.00%,28.00%,3.00%,19.12%,75.00%,Good,2022-09-29 00:00:00,28.15%,West Midlands
The Priory Academy LSST,Lincolnshire,1.00%,89.00%,35.00%,30.00%,1.00%,16.65%,75.00%,Good,2023-11-01 00:00:00,28.12%,East Midlands
Lymm High School,Warrington,2.00%,87.00%,39.00%,38.00%,1.00%,14.55%,75.00%,Good,2022-12-07 00:00:00,28.12%,North West
Sir John Nelthorpe School,North Lincolnshire,5.00%,85.00%,24.00%,24.00%,0.00%,19.88%,75.00%,Good,2023-10-18 00:00:00,28.09%,Yorkshire and The Humber
Alexandra Park School,Haringey,,90.00%,31.00%,28.00%,2.00%,13.17%,100.00%,Outstanding,2023-03-01 00:00:00,28.05%,London
Bournemouth School for Girls,"Bournemouth, Christchurch and Poole",2.00%,88.00%,47.00%,45.00%,5.00%,19.65%,20.00%,Outstanding,2012-10-11 00:00:00,28.03%,South West
Churston Ferrers Grammar School Academy,Torbay,2.00%,80.00%,32.00%,42.00%,1.00%,15.87%,75.00%,Good,2022-10-19 00:00:00,28.01%,South West
Old Swinford Hospital,Dudley,4.00%,83.00%,29.00%,27.00%,0.00%,18.78%,75.00%,Good,2022-01-26 00:00:00,28.01%,West Midlands
Gravesend Grammar School,Kent,5.00%,88.00%,38.00%,31.00%,1.00%,24.37%,20.00%,Outstanding,2015-06-26 00:00:00,27.99%,South East
Weald of Kent Grammar School,Kent,2.00%,91.00%,52.00%,49.00%,3.00%,12.88%,50.00%,Requires improvement,2022-04-27 00:00:00,27.97%,South East
Harrogate Grammar School,North Yorkshire,2.00%,83.00%,36.00%,30.00%,1.00%,12.85%,100.00%,Outstanding,2022-03-10 00:00:00,27.97%,Yorkshire and The Humber
Rainham Mark Grammar School,Medway,8.00%,75.00%,26.00%,21.00%,3.00%,20.28%,75.00%,Good,2022-05-25 00:00:00,27.95%,South East
Mulberry Stepney Green Mathematics and Computing College,Tower Hamlets,3.00%,95.00%,36.00%,34.00%,0.00%,22.58%,25.00%,Good,2021-12-01 00:00:00,27.94%,London
Hutton Church of England Grammar School,Lancashire,4.00%,87.00%,21.00%,15.00%,2.00%,21.22%,75.00%,Good,2022-05-11 00:00:00,27.94%,North West
Wallingford School,Oxfordshire,2.00%,80.00%,35.00%,29.00%,4.00%,17.05%,75.00%,Good,2022-11-09 00:00:00,27.92%,South East
Simon Langton Girls' Grammar School,Kent,0.00%,90.00%,39.00%,36.00%,1.00%,14.38%,75.00%,Good,2023-09-27 00:00:00,27.92%,South East
St Bonaventure's RC School,Newham,2.00%,88.00%,24.00%,22.00%,1.00%,15.47%,100.00%,Outstanding,2022-11-30 00:00:00,27.89%,London
UTC Oxfordshire,Oxfordshire,5.00%,67.00%,17.00%,16.00%,2.00%,34.72%,15.00%,Good,2018-05-23 00:00:00,27.87%,South East
Finchley Catholic High School,Barnet,4.00%,88.00%,38.00%,33.00%,2.00%,14.47%,75.00%,Good,2023-09-27 00:00:00,27.87%,London
Wren Academy Finchley,Barnet,1.00%,94.00%,58.00%,51.00%,0.00%,16.63%,20.00%,Outstanding,2018-09-19 00:00:00,27.83%,London
Otley Prince Henry's Grammar School Specialist Language College,Leeds,3.00%,86.00%,41.00%,36.00%,0.00%,14.27%,75.00%,Good,2022-12-14 00:00:00,27.82%,Yorkshire and The Humber
London Academy,Barnet,1.00%,88.00%,34.00%,34.00%,3.00%,15.02%,75.00%,Good,2023-07-04 00:00:00,27.78%,London
Cardinal Pole Catholic School,Hackney,0.00%,86.00%,46.00%,38.00%,2.00%,12.95%,75.00%,Good,2022-03-09 00:00:00,27.77%,London
Harris Academy Greenwich,Greenwich,1.00%,89.00%,24.00%,22.00%,1.00%,15.20%,100.00%,Outstanding,2022-03-09 00:00:00,27.76%,London
University Technical College Norfolk,Norfolk,10.00%,57.00%,11.00%,10.00%,0.00%,36.27%,25.00%,Good,2019-05-15 00:00:00,27.72%,East of England
Mulberry Academy Shoreditch,Tower Hamlets,5.00%,84.00%,33.00%,33.00%,0.00%,15.92%,75.00%,Good,2022-09-15 00:00:00,27.68%,London
Highworth Grammar School,Kent,1.00%,88.00%,40.00%,38.00%,6.00%,21.32%,20.00%,Outstanding,2013-06-14 00:00:00,27.63%,South East
Scarborough University Technical College,North Yorkshire,17.00%,38.00%,13.00%,13.00%,0.00%,28.80%,75.00%,Good,2022-11-23 00:00:00,27.62%,Yorkshire and The Humber
The Piggott School,Wokingham,5.00%,79.00%,35.00%,33.00%,1.00%,16.05%,75.00%,Good,2023-05-11 00:00:00,27.62%,South East
University Technical College Leeds,Leeds,18.00%,73.00%,18.00%,16.00%,0.00%,21.33%,75.00%,Good,2023-01-11 00:00:00,27.60%,Yorkshire and The Humber
Saint Gregory's Catholic College,Bath and North East Somerset,3.00%,68.00%,29.00%,30.00%,1.00%,19.73%,75.00%,Good,2022-11-09 00:00:00,27.58%,South West
Hall Cross Academy,Doncaster,2.00%,85.00%,37.00%,34.00%,3.00%,14.40%,75.00%,Good,2023-05-24 00:00:00,27.56%,Yorkshire and The Humber
Barr Beacon School,Walsall,4.00%,88.00%,20.00%,20.00%,0.00%,19.88%,75.00%,Good,2022-11-23 00:00:00,27.53%,West Midlands
St Augustine's Federated Schools: CE High School,Westminster,1.00%,89.00%,20.00%,19.00%,1.00%,20.17%,75.00%,Good,2023-03-08 00:00:00,27.52%,London
"St Mary's Catholic High School, A Catholic Voluntary Academy",Derbyshire,1.00%,92.00%,45.00%,40.00%,3.00%,19.88%,20.00%,Outstanding,2012-10-03 00:00:00,27.48%,East Midlands
Northwood School,Hillingdon,0.00%,88.00%,15.00%,15.00%,4.00%,30.47%,20.00%,Outstanding,2018-10-03 00:00:00,27.48%,London
Hockerill Anglo-European College,Hertfordshire,0.00%,89.00%,72.00%,68.00%,8.00%,0.00%,75.00%,Good,2022-06-15 00:00:00,27.47%,East of England
Barnhill Community High School,Hillingdon,4.00%,87.00%,26.00%,24.00%,2.00%,17.63%,75.00%,Good,2022-11-10 00:00:00,27.47%,London
Harris Academy Merton,Merton,1.00%,90.00%,18.00%,16.00%,0.00%,16.87%,100.00%,Outstanding,2022-09-14 00:00:00,27.45%,London
Greenshaw High School,Sutton,1.00%,83.00%,26.00%,22.00%,1.00%,19.40%,75.00%,Good,2023-10-19 00:00:00,27.44%,London
The King Alfred School an Academy,Somerset,6.00%,84.00%,29.00%,37.00%,2.00%,14.65%,75.00%,Good,2022-11-23 00:00:00,27.44%,South West
Kingsmead School,Enfield,1.00%,88.00%,33.00%,32.00%,2.00%,15.09%,75.00%,Good,2022-04-27 00:00:00,27.41%,London
Langdon Park Community School,Tower Hamlets,0.00%,85.00%,29.00%,29.00%,0.00%,17.52%,75.00%,Good,2023-04-20 00:00:00,27.41%,London
All Saints' Catholic Voluntary Academy,Nottinghamshire,3.00%,82.00%,29.00%,26.00%,3.00%,17.37%,75.00%,Good,2022-02-24 00:00:00,27.41%,East Midlands
Stoke Newington School and Sixth Form,Hackney,1.00%,75.00%,36.00%,32.00%,2.00%,16.75%,75.00%,Good,2022-07-06 00:00:00,27.41%,London
Sheffield Park Academy,Sheffield,0.00%,81.00%,14.00%,13.00%,0.00%,23.83%,75.00%,Good,2022-12-08 00:00:00,27.38%,Yorkshire and The Humber
St Thomas More Catholic School and Sixth Form College,Warwickshire,2.00%,91.00%,46.00%,34.00%,2.00%,11.78%,75.00%,Good,2023-05-24 00:00:00,27.37%,West Midlands
Ricards Lodge High School,Merton,0.00%,95.00%,40.00%,32.00%,0.00%,9.15%,100.00%,Outstanding,2023-09-14 00:00:00,27.36%,London
High Storrs School,Sheffield,,87.00%,43.00%,39.00%,1.00%,12.48%,75.00%,Good,2022-03-30 00:00:00,27.35%,Yorkshire and The Humber
Nottingham Girls' Academy,Nottingham,0.00%,84.00%,16.00%,16.00%,6.00%,16.67%,100.00%,Outstanding,2023-11-08 00:00:00,27.35%,East Midlands
Rutlish School,Merton,2.00%,89.00%,19.00%,17.00%,0.00%,16.27%,100.00%,Outstanding,2022-04-27 00:00:00,27.33%,London
St Edward's College,Liverpool,2.00%,83.00%,37.00%,37.00%,2.00%,18.08%,50.00%,Requires improvement,2022-11-09 00:00:00,27.32%,North West
St Laurence School,Wiltshire,0.00%,85.00%,40.00%,38.00%,1.00%,13.45%,75.00%,Good,2022-12-07 00:00:00,27.32%,South West
"St Paul's Catholic School, a Voluntary Academy",Leicester,0.00%,92.00%,20.00%,20.00%,2.00%,18.97%,75.00%,Good,2023-01-25 00:00:00,27.32%,East Midlands
Ark Walworth Academy,Southwark,2.00%,81.00%,19.00%,21.00%,0.00%,20.90%,75.00%,Good,2023-11-03 00:00:00,27.30%,London
Archbishop Tenison's CofE High School,Croydon,0.00%,94.00%,33.00%,25.00%,0.00%,15.87%,75.00%,Good,2022-03-03 00:00:00,27.27%,London
